Order_Date,Time,Aging,Customer_Id,Gender,Device_Type,Customer_Login_type,Product_Category,Product,Sales,Quantity,Discount,Profit,Shipping_Cost,Order_Priority,Payment_method
12-12-2018,01:50:26,8.0,37689.0,Female,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231.0,1.0,0.3,144.1,14.4,Critical,credit_card
02-05-2018,11:45:38,,26058.0,Female,Web,Member,Auto & Accessories,Car Media Players,140.0,1.0,0.3,55.8,5.6,High,credit_card
25-08-2018,13:50:30,7.0,38941.0,Female,Web,Member,Auto & Accessories,Car Speakers,211.0,1.0,0.3,112.0,11.2,Medium,credit_card
10-11-2018,11:58:33,4.0,19919.0,Female,Web,Member,Auto & Accessories,Car Body Covers,117.0,1.0,0.2,34.7,3.5,High,money_order
16-09-2018,21:15:39,9.0,56625.0,Female,Web,Member,Auto & Accessories,Car & Bike Care,118.0,1.0,0.3,27.4,2.7,Critical,credit_card
12-03-2018,13:56:04,5.0,33501.0,Female,Web,Member,Auto & Accessories,Tyre,250.0,1.0,0.2,165.0,16.5,Medium,credit_card
03-08-2018,12:38:58,10.0,40865.0,Female,Web,Member,Auto & Accessories,Bike Tyres,72.0,4.0,0.3,18.0,1.8,High,credit_card
29-07-2018,23:34:51,5.0,38256.0,Female,Web,Member,Auto & Accessories,Car Mat,54.0,4.0,0.3,13.5,1.4,Critical,credit_card
17-08-2018,15:59:46,1.0,14567.0,Female,Web,Member,Auto & Accessories,Car Seat Covers,114.0,4.0,0.1,29.4,2.9,High,credit_card
21-08-2018,18:15:12,4.0,38178.0,Female,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231.0,1.0,0.3,127.9,12.8,High,credit_card
30-07-2018,21:37:10,6.0,24153.0,Female,Web,Member,Auto & Accessories,Car Media Players,140.0,5.0,0.3,32.0,3.2,Medium,credit_card
01-10-2018,12:23:13,3.0,27385.0,Female,Web,Member,Auto & Accessories,Car Speakers,211.0,4.0,0.1,122.6,12.3,Critical,credit_card
26-12-2018,17:12:18,2.0,44937.0,Female,Web,Member,Auto & Accessories,Car Body Covers,117.0,1.0,0.3,32.3,3.2,High,credit_card
19-05-2018,18:53:40,6.0,38490.0,Female,Web,Member,Auto & Accessories,Car & Bike Care,118.0,5.0,0.3,14.4,1.4,Critical,money_order
24-04-2018,21:27:48,4.0,30549.0,Female,Web,Member,Auto & Accessories,Tyre,250.0,5.0,0.3,132.5,13.3,Critical,credit_card
04-11-2018,17:10:39,8.0,50606.0,Female,Web,Member,Auto & Accessories,Bike Tyres,72.0,5.0,0.2,14.4,1.4,Critical,credit_card
04-11-2018,23:25:30,1.0,42084.0,Female,Web,Member,Auto & Accessories,Car Mat,54.0,5.0,0.1,10.8,1.1,High,money_order
18-05-2018,13:55:47,5.0,52161.0,Female,Web,Member,Auto & Accessories,Car Seat Covers,114.0,4.0,0.3,15.8,1.6,Critical,credit_card
14-05-2018,20:28:25,7.0,32218.0,Female,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231.0,4.0,0.3,114.0,11.4,High,money_order
17-05-2018,16:59:11,8.0,36491.0,Female,Web,Member,Auto & Accessories,Car Media Players,140.0,1.0,0.3,46.0,4.6,Critical,credit_card
29-07-2018,11:24:17,6.0,12227.0,Female,Web,Member,Auto & Accessories,Car Speakers,211.0,1.0,0.1,128.9,12.9,Critical,credit_card
09-11-2018,20:19:05,1.0,13196.0,Female,Web,Member,Auto & Accessories,Car Body Covers,117.0,4.0,0.3,13.6,1.4,Critical,credit_card
01-08-2018,14:02:19,6.0,50444.0,Female,Web,Guest,Auto & Accessories,Car & Bike Care,118.0,5.0,0.3,14.4,1.4,Critical,credit_card
26-10-2018,13:42:52,5.0,24528.0,Male,Web,Member,Auto & Accessories,Tyre,250.0,1.0,0.1,165.0,16.5,Medium,credit_card
26-07-2018,14:39:59,3.0,57748.0,Male,Web,Member,Auto & Accessories,Bike Tyres,72.0,1.0,0.1,36.0,3.6,Critical,credit_card
15-03-2018,00:06:10,6.0,46349.0,Male,Web,Member,Auto & Accessories,Car Mat,54.0,5.0,0.3,10.8,1.1,High,credit_card
30-11-2018,08:15:24,4.0,54853.0,Male,Web,Member,Auto & Accessories,Car Seat Covers,114.0,4.0,0.3,11.2,1.1,High,credit_card
11-10-2018,10:25:52,2.0,28082.0,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231.0,1.0,0.3,132.5,13.3,High,money_order
11-10-2018,08:18:19,6.0,20444.0,Male,Web,Member,Auto & Accessories,Car Media Players,140.0,1.0,0.3,51.6,5.2,High,money_order
09-12-2018,14:50:15,5.0,51472.0,Male,Web,Member,Auto & Accessories,Car Speakers,211.0,1.0,0.1,128.9,12.9,Critical,credit_card
13-12-2018,18:14:36,8.0,45606.0,Male,Web,Member,Auto & Accessories,Car Body Covers,117.0,4.0,0.2,27.6,2.8,High,credit_card
13-10-2018,21:11:26,5.0,47238.0,Male,Web,Member,Auto & Accessories,Car & Bike Care,118.0,1.0,0.3,20.3,2.0,Critical,credit_card
30-04-2018,22:02:15,6.0,18609.0,Male,Web,Member,Auto & Accessories,Tyre,250.0,1.0,0.3,160.0,16.0,Medium,credit_card
05-11-2018,13:09:48,3.0,39387.0,Male,Web,Member,Auto & Accessories,Bike Tyres,72.0,1.0,0.3,36.0,3.6,High,credit_card
15-04-2018,11:31:41,9.0,47027.0,Male,Web,Member,Auto & Accessories,Car Mat,54.0,5.0,0.1,10.8,1.1,High,credit_card
19-08-2018,20:31:09,9.0,31526.0,Male,Web,Member,Auto & Accessories,Car Seat Covers,114.0,1.0,0.1,30.6,3.1,High,credit_card
22-09-2018,08:48:13,8.0,25308.0,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231.0,5.0,0.2,127.9,12.8,Medium,money_order
07-06-2018,21:44:54,2.0,47320.0,Male,Web,Member,Auto & Accessories,Car Media Players,140.0,1.0,0.3,53.0,5.3,Critical,credit_card
10-08-2018,13:26:59,4.0,52527.0,Male,Web,Member,Auto & Accessories,Car Speakers,211.0,1.0,0.3,109.9,11.0,Medium,money_order
18-10-2018,16:02:23,2.0,17333.0,Male,Web,Member,Auto & Accessories,Car Body Covers,117.0,1.0,0.2,34.7,3.5,High,credit_card
13-10-2018,13:47:39,3.0,26223.0,Male,Web,Member,Auto & Accessories,Car & Bike Care,118.0,1.0,0.1,36.8,3.7,High,credit_card
15-07-2018,08:33:19,1.0,22734.0,Male,Web,Member,Auto & Accessories,Tyre,250.0,1.0,0.1,167.5,16.8,High,money_order
13-02-2018,14:27:11,2.0,54066.0,Male,Web,Member,Auto & Accessories,Bike Tyres,72.0,1.0,0.2,72.0,7.2,High,e_wallet
13-09-2018,08:44:17,4.0,55093.0,Male,Web,Member,Auto & Accessories,Car Mat,54.0,1.0,0.3,54.0,5.4,Critical,credit_card
15-08-2018,10:33:30,2.0,49436.0,Male,Web,Member,Auto & Accessories,Car Seat Covers,114.0,4.0,0.3,20.3,2.0,Medium,e_wallet
20-08-2018,11:45:39,3.0,41257.0,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231.0,1.0,0.3,116.4,11.6,Medium,credit_card
20-09-2018,17:15:46,6.0,55433.0,Male,Web,Member,Auto & Accessories,Car Media Players,140.0,4.0,0.3,32.0,3.2,High,money_order
15-02-2018,09:19:48,1.0,13366.0,Male,Web,Member,Auto & Accessories,Car Speakers,211.0,5.0,0.1,120.5,12.0,Critical,credit_card
28-07-2018,16:52:55,4.0,41451.0,Male,Web,Member,Auto & Accessories,Car Body Covers,117.0,4.0,0.1,32.3,3.2,High,credit_card
09-11-2018,18:32:47,2.0,42588.0,Male,Web,Member,Auto & Accessories,Car & Bike Care,118.0,1.0,0.1,36.8,3.7,High,e_wallet
26-11-2018,22:04:34,9.0,26754.0,Male,Web,Member,Auto & Accessories,Tyre,250.0,4.0,0.3,140.0,14.0,Critical,credit_card
30-07-2018,03:06:35,10.0,34365.0,Male,Web,Member,Auto & Accessories,Bike Tyres,72.0,4.0,0.3,18.0,1.8,Critical,credit_card
22-03-2018,00:17:37,4.0,49745.0,Male,Web,Member,Auto & Accessories,Car Mat,54.0,5.0,0.3,10.8,1.1,High,credit_card
06-09-2018,22:39:29,8.0,53213.0,Male,Web,Member,Auto & Accessories,Car Seat Covers,114.0,1.0,0.3,28.3,2.8,Critical,credit_card
09-05-2018,20:48:59,8.0,43735.0,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231.0,1.0,0.3,144.1,14.4,High,credit_card
20-09-2018,20:42:44,8.0,14760.0,Male,Web,Member,Auto & Accessories,Car Media Players,140.0,1.0,0.1,58.6,5.9,High,credit_card
16-01-2018,14:56:50,10.0,44410.0,Male,Web,Member,Auto & Accessories,Car Speakers,211.0,5.0,0.3,99.4,9.9,High,credit_card
08-03-2018,09:42:43,1.0,53552.0,Male,Web,Member,Auto & Accessories,Car Body Covers,117.0,1.0,0.2,30.0,3.0,Critical,credit_card
26-11-2018,16:53:30,1.0,39696.0,Male,Web,Member,Auto & Accessories,Car & Bike Care,118.0,1.0,0.3,28.6,2.9,High,credit_card
27-08-2018,12:55:42,3.0,22235.0,Male,Web,Member,Auto & Accessories,Tyre,250.0,4.0,0.3,120.0,12.0,Critical,debit_card
11-05-2018,13:10:51,7.0,42599.0,Male,Web,Member,Auto & Accessories,Bike Tyres,72.0,1.0,0.2,36.0,3.6,High,credit_card
22-06-2018,19:22:22,7.0,27079.0,Female,Web,Member,Auto & Accessories,Car Mat,54.0,1.0,0.3,27.0,2.7,Critical,credit_card
01-05-2018,08:12:37,1.0,57745.0,Male,Web,Guest,Auto & Accessories,Car Seat Covers,114.0,1.0,0.3,24.9,2.5,High,credit_card
19-02-2018,22:17:15,4.0,20917.0,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231.0,5.0,0.3,104.8,10.5,Critical,credit_card
11-09-2018,22:32:31,2.0,54446.0,Male,Web,Member,Auto & Accessories,Car Media Players,140.0,1.0,0.3,54.4,5.4,High,credit_card
20-03-2018,23:45:07,5.0,55746.0,Male,Web,Member,Auto & Accessories,Car Speakers,211.0,1.0,0.1,124.7,12.5,Critical,credit_card
22-09-2018,23:23:18,10.0,58534.0,Male,Web,Member,Auto & Accessories,Car Body Covers,117.0,1.0,0.2,32.3,3.2,Critical,credit_card
03-11-2018,08:59:39,2.0,53957.0,Male,Web,Member,Auto & Accessories,Car & Bike Care,118.0,4.0,0.3,19.1,1.9,Critical,credit_card
14-05-2018,08:35:33,8.0,53395.0,Male,Web,Member,Auto & Accessories,Tyre,250.0,4.0,0.3,140.0,14.0,High,credit_card
22-04-2018,11:32:22,5.0,52267.0,Male,Web,Member,Auto & Accessories,Bike Tyres,72.0,,0.1,36.0,3.6,Critical,credit_card
30-12-2018,07:50:33,7.0,29085.0,Male,Web,Member,Auto & Accessories,Car Mat,54.0,5.0,0.2,10.8,1.1,High,credit_card
05-10-2018,09:10:34,8.0,56399.0,Male,Web,Member,Auto & Accessories,Car Seat Covers,114.0,1.0,0.3,20.3,2.0,High,credit_card
26-11-2018,11:04:26,5.0,27009.0,Female,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231.0,1.0,0.2,141.8,14.2,Critical,credit_card
17-05-2018,08:36:11,2.0,35336.0,Male,Web,Member,Auto & Accessories,Car Media Players,140.0,1.0,0.1,58.6,5.9,Critical,credit_card
30-07-2018,22:41:44,6.0,26503.0,Male,Web,Member,Auto & Accessories,Car Speakers,211.0,5.0,0.3,99.4,9.9,Critical,money_order
01-12-2018,22:14:26,2.0,50579.0,Male,Web,Member,Auto & Accessories,Car Body Covers,117.0,1.0,0.3,26.5,2.6,High,credit_card
06-08-2018,21:09:10,4.0,54326.0,Male,Web,Member,Auto & Accessories,Car & Bike Care,118.0,5.0,0.3,14.4,1.4,Critical,e_wallet
28-06-2018,23:45:53,10.0,23420.0,Male,Web,Member,Auto & Accessories,Tyre,250.0,1.0,0.3,132.5,13.3,High,credit_card
27-06-2018,22:04:34,6.0,32534.0,Male,Web,Member,Auto & Accessories,Bike Tyres,72.0,4.0,0.3,18.0,1.8,High,credit_card
01-07-2018,15:42:32,1.0,22902.0,Male,Web,Member,Auto & Accessories,Car Mat,54.0,5.0,0.1,10.8,1.1,Critical,credit_card
27-02-2018,12:07:22,1.0,31526.0,Male,Web,Member,Auto & Accessories,Car Seat Covers,114.0,1.0,0.2,29.4,2.9,Critical,credit_card
28-04-2018,21:00:44,7.0,40170.0,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231.0,1.0,0.2,137.1,13.7,Critical,money_order
01-08-2018,12:31:21,6.0,18701.0,Male,Web,Member,Auto & Accessories,Car Media Players,140.0,4.0,0.3,43.2,4.3,Medium,credit_card
22-11-2018,16:10:29,10.0,10773.0,Male,Web,Member,Auto & Accessories,Car Speakers,211.0,1.0,0.3,99.4,9.9,Critical,credit_card
06-07-2018,23:36:15,4.0,41607.0,Female,Web,Member,Auto & Accessories,Car Body Covers,117.0,5.0,0.3,7.8,0.8,Critical,credit_card
09-05-2018,18:27:00,2.0,26936.0,Male,Web,Member,Auto & Accessories,Car & Bike Care,118.0,1.0,0.1,34.5,3.4,Medium,debit_card
26-04-2018,17:49:46,10.0,56518.0,Male,Web,Member,Auto & Accessories,Tyre,250.0,5.0,0.1,157.5,15.8,High,credit_card
27-10-2018,23:11:57,9.0,44722.0,Female,Web,Member,Auto & Accessories,Bike Tyres,72.0,1.0,0.3,36.0,3.6,High,credit_card
23-06-2018,10:32:39,5.0,39332.0,Male,Web,Member,Auto & Accessories,Car Mat,54.0,4.0,0.2,13.5,1.4,High,credit_card
20-11-2018,18:24:30,7.0,39095.0,Male,Web,Member,Auto & Accessories,Car Seat Covers,114.0,5.0,0.3,5.5,0.6,High,credit_card
30-06-2018,07:51:17,1.0,55428.0,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231.0,4.0,0.2,132.5,13.3,Critical,credit_card
30-12-2018,14:20:46,1.0,16481.0,Male,Web,Guest,Auto & Accessories,Car Media Players,140.0,1.0,0.3,54.4,5.4,High,credit_card
07-12-2018,23:00:33,8.0,23129.0,Male,Web,Member,Auto & Accessories,Car Speakers,211.0,1.0,0.3,105.7,10.6,High,credit_card
08-05-2018,22:12:34,7.0,39272.0,Male,Web,Member,Auto & Accessories,Car Body Covers,117.0,5.0,0.1,31.2,3.1,Critical,credit_card
30-12-2018,14:46:00,8.0,54296.0,Male,Web,Guest,Auto & Accessories,Car & Bike Care,118.0,5.0,0.3,20.3,2.0,High,credit_card
24-04-2018,21:55:22,5.0,50254.0,Male,Web,Member,Auto & Accessories,Tyre,250.0,4.0,0.3,120.0,12.0,High,e_wallet
25-09-2018,22:18:10,6.0,42386.0,Male,Web,Member,Auto & Accessories,Bike Tyres,72.0,4.0,0.3,18.0,1.8,Critical,credit_card
16-07-2018,10:27:45,7.0,16296.0,Male,Web,Member,Auto & Accessories,Car Mat,54.0,1.0,0.1,54.0,5.4,High,money_order
21-04-2018,12:08:32,7.0,43547.0,Male,Web,Member,Auto & Accessories,Car Seat Covers,114.0,1.0,0.2,27.2,2.7,High,credit_card
19-01-2018,15:08:48,10.0,58155.0,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231.0,1.0,0.1,148.7,14.9,Critical,money_order
22-07-2018,15:19:05,9.0,46686.0,Male,Web,Member,Auto & Accessories,Car Media Players,140.0,1.0,0.1,58.6,5.9,High,credit_card
02-03-2018,14:28:03,1.0,39372.0,Male,Web,Guest,Auto & Accessories,Car Speakers,211.0,1.0,0.1,124.7,12.5,High,credit_card
26-12-2018,09:14:26,3.0,23926.0,Male,Web,Member,Auto & Accessories,Car Body Covers,117.0,5.0,0.3,13.6,1.4,High,credit_card
09-06-2018,06:37:43,3.0,59723.0,Male,Web,Member,Auto & Accessories,Car & Bike Care,118.0,5.0,0.2,26.2,2.6,Medium,credit_card
06-08-2018,18:25:39,2.0,13656.0,Male,Web,Member,Auto & Accessories,Tyre,250.0,1.0,0.2,155.0,15.5,High,money_order
18-07-2018,13:39:54,3.0,47245.0,Male,Web,Member,Auto & Accessories,Bike Tyres,72.0,5.0,0.3,14.4,1.4,Critical,credit_card
28-12-2018,16:03:34,7.0,26200.0,Male,Web,Member,Auto & Accessories,Car Mat,54.0,1.0,0.2,54.0,5.4,High,credit_card
08-10-2018,12:19:58,9.0,34771.0,Male,Web,Guest,Auto & Accessories,Car Seat Covers,114.0,5.0,0.3,5.5,0.6,Critical,e_wallet
10-07-2018,12:23:05,4.0,30722.0,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231.0,1.0,0.2,141.8,14.2,Critical,money_order
16-05-2018,16:10:21,6.0,46226.0,Male,Web,Member,Auto & Accessories,Car Media Players,140.0,1.0,0.3,55.8,5.6,High,credit_card
05-07-2018,18:40:47,10.0,31323.0,Male,Web,Member,Auto & Accessories,Car Speakers,211.0,4.0,0.2,114.1,11.4,Critical,credit_card
20-02-2018,17:12:34,6.0,57896.0,Male,Web,Member,Auto & Accessories,Car Body Covers,117.0,5.0,0.3,13.6,1.4,Critical,credit_card
21-08-2018,17:15:49,1.0,52183.0,Male,Web,Member,Auto & Accessories,Car & Bike Care,118.0,5.0,0.3,14.4,1.4,Critical,credit_card
10-06-2018,14:18:40,3.0,16327.0,Male,Web,Member,Auto & Accessories,Tyre,250.0,4.0,0.3,120.0,12.0,Medium,e_wallet
26-09-2018,16:14:11,2.0,31345.0,Male,Web,Member,Auto & Accessories,Bike Tyres,72.0,5.0,0.3,14.4,1.4,Critical,credit_card
27-04-2018,19:24:52,2.0,17243.0,Female,Web,Member,Auto & Accessories,Car Mat,54.0,5.0,0.3,10.8,1.1,Medium,credit_card
11-05-2018,16:35:19,3.0,27820.0,Male,Web,Guest,Auto & Accessories,Car Seat Covers,114.0,4.0,0.3,11.2,1.1,Critical,money_order
25-05-2018,08:54:21,4.0,58874.0,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231.0,1.0,0.3,139.5,13.9,Critical,credit_card
26-04-2018,09:32:06,7.0,28090.0,Male,Web,Member,Auto & Accessories,Car Media Players,140.0,5.0,0.1,53.0,5.3,Critical,money_order
17-04-2018,21:14:42,5.0,44331.0,Male,Web,Member,Auto & Accessories,Car Speakers,211.0,5.0,0.3,88.8,8.9,High,credit_card
23-07-2018,18:27:07,6.0,46006.0,Male,Web,Member,Auto & Accessories,Car Body Covers,117.0,1.0,0.2,34.7,3.5,Critical,credit_card
14-08-2018,13:05:17,3.0,22080.0,Male,Web,Member,Auto & Accessories,Car & Bike Care,118.0,5.0,0.3,8.5,0.9,Medium,credit_card
30-09-2018,22:43:56,5.0,41793.0,Male,Web,Member,Auto & Accessories,Tyre,250.0,1.0,0.3,160.0,16.0,Critical,credit_card
15-05-2018,16:29:03,8.0,28996.0,Male,Web,Member,Auto & Accessories,Bike Tyres,72.0,1.0,0.2,24.0,2.4,High,credit_card
22-07-2018,19:16:47,3.0,36277.0,Male,Web,Member,Auto & Accessories,Car Mat,54.0,4.0,0.3,13.5,1.4,High,credit_card
24-10-2018,19:01:52,2.0,45487.0,Male,Web,Guest,Auto & Accessories,Car Seat Covers,114.0,4.0,0.3,15.8,1.6,Critical,money_order
02-07-2018,12:54:20,10.0,13020.0,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231.0,1.0,0.3,144.1,14.4,Critical,credit_card
06-12-2018,00:14:28,6.0,52525.0,Male,Web,Member,Auto & Accessories,Car Media Players,140.0,1.0,0.1,58.6,5.9,High,credit_card
04-01-2018,23:02:21,2.0,29479.0,Male,Web,Member,Auto & Accessories,Car Speakers,211.0,5.0,0.3,99.4,9.9,High,credit_card
21-03-2018,17:43:41,8.0,16029.0,Female,Web,Member,Auto & Accessories,Car Body Covers,117.0,4.0,0.1,32.3,3.2,Critical,money_order
02-08-2018,16:15:41,2.0,37402.0,Male,Web,Guest,Auto & Accessories,Car & Bike Care,118.0,1.0,0.3,32.1,3.2,Critical,money_order
01-10-2018,11:26:06,4.0,53794.0,Male,Web,Member,Auto & Accessories,Tyre,250.0,1.0,0.1,162.5,16.3,Medium,credit_card
09-11-2018,16:23:03,1.0,32178.0,Male,Web,Member,Auto & Accessories,Bike Tyres,72.0,1.0,0.1,24.0,2.4,High,credit_card
15-04-2018,13:47:34,9.0,58607.0,Male,Web,Member,Auto & Accessories,Car Mat,54.0,5.0,0.3,10.8,1.1,Medium,credit_card
26-09-2018,11:59:05,9.0,20045.0,Male,Web,Member,Auto & Accessories,Car Seat Covers,114.0,1.0,0.1,31.7,3.2,High,credit_card
15-07-2018,12:37:12,3.0,15311.0,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231.0,4.0,0.3,123.3,12.3,Critical,credit_card
30-05-2018,22:33:08,6.0,48474.0,Male,Web,Member,Auto & Accessories,Car Media Players,140.0,1.0,0.3,55.8,5.6,Critical,credit_card
02-03-2018,14:08:33,1.0,20784.0,Male,Web,Member,Auto & Accessories,Car Speakers,211.0,1.0,0.2,122.6,12.3,Medium,money_order
29-12-2018,14:27:41,9.0,13649.0,Male,Web,Member,Auto & Accessories,Car Body Covers,117.0,4.0,0.2,27.6,2.8,Critical,e_wallet
25-10-2018,15:36:18,7.0,45439.0,Male,Web,Member,Auto & Accessories,Car & Bike Care,118.0,1.0,0.1,36.8,3.7,Critical,credit_card
11-02-2018,07:54:38,1.0,34182.0,Male,Web,Member,Auto & Accessories,Tyre,250.0,5.0,0.2,145.0,14.5,Critical,e_wallet
15-09-2018,19:42:06,1.0,30880.0,Male,Web,Member,Auto & Accessories,Bike Tyres,72.0,1.0,0.3,72.0,7.2,High,credit_card
13-06-2018,08:19:23,2.0,52427.0,Male,Web,Member,Auto & Accessories,Car Mat,54.0,5.0,0.3,10.8,1.1,Critical,money_order
04-09-2018,08:39:50,5.0,55136.0,Male,Web,Member,Auto & Accessories,Car Seat Covers,114.0,1.0,0.3,24.9,2.5,High,credit_card
26-02-2018,12:32:39,1.0,47162.0,Female,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231.0,4.0,0.2,132.5,13.3,High,credit_card
28-08-2018,17:00:28,8.0,56059.0,Male,Web,Member,Auto & Accessories,Car Media Players,140.0,4.0,0.2,48.8,4.9,Critical,credit_card
22-09-2018,19:26:47,8.0,27239.0,Female,Web,Member,Auto & Accessories,Car Speakers,211.0,4.0,0.1,122.6,12.3,Medium,credit_card
13-02-2018,09:18:50,5.0,49838.0,Male,Web,Member,Auto & Accessories,Car Body Covers,117.0,5.0,0.3,19.5,1.9,High,credit_card
18-06-2018,09:30:54,1.0,48939.0,Male,Web,Member,Auto & Accessories,Car & Bike Care,118.0,5.0,0.1,32.1,3.2,High,credit_card
14-12-2018,16:25:43,5.0,37902.0,Male,Web,Member,Auto & Accessories,Tyre,250.0,5.0,0.3,132.5,13.3,High,money_order
20-03-2018,12:30:40,10.0,31091.0,Male,Web,Member,Auto & Accessories,Bike Tyres,72.0,1.0,0.3,36.0,3.6,Critical,money_order
04-03-2018,17:24:57,5.0,36695.0,Male,Web,Guest,Auto & Accessories,Car Mat,54.0,1.0,0.3,27.0,2.7,High,credit_card
03-11-2018,22:23:06,10.0,52162.0,Male,Web,Member,Auto & Accessories,Car Seat Covers,114.0,1.0,0.3,27.2,2.7,Critical,money_order
29-12-2018,14:29:44,10.0,22796.0,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231.0,1.0,0.3,139.5,13.9,High,credit_card
18-05-2018,20:59:24,6.0,20028.0,Male,Web,Member,Auto & Accessories,Car Media Players,140.0,5.0,0.3,25.0,2.5,High,credit_card
